wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-8.wav|What do you want to know?
wavs/Kim Kitsuragi-WHIRLING F2  TEQUILA DOOR-86.wav|Come on, let's go down.
wavs/Kim Kitsuragi-WHIRLING F2  TEQUILA DOOR-90.wav|Just a moment. You had some questions earlier, I believe, and, besides, we should discuss our progress on the investigation. Let's go out to the balcony.
wavs/Kim Kitsuragi-WHIRLING F2  TEQUILA DOOR-91.wav|Just a moment. We should talk about our progress on the investigation. Let's go out to the balcony.
wavs/Kim Kitsuragi-VILLAGE  SHACK DOOR-9.wav|I'll be sleeping in my room in the Whirling. We'll meet in front of the shack in the morning.
wavs/alternative-0-Kim Kitsuragi-VILLAGE  SHACK DOOR-9-0.wav|It's getting late. I'll let you sweep this place on your own. I'm sure you can handle the washerwoman... I'll be sleeping in my room in the Whirling. We'll meet in front of the shack in the morning.
wavs/Kim Kitsuragi-VILLAGE  SHACK DOOR-13.wav|I'm afraid we don't have time for rest stops right now, officer. We should really get back to the Whirling.
wavs/Kim Kitsuragi-VILLAGE  SHACK DOOR-19.wav|Good night.. And try not to break the case without me.
wavs/Kim Kitsuragi-VILLAGE  SHACK DOOR-20.wav|I'll wait outside to give you some time and privacy to check out your new living arrangement. But just so you know...
wavs/alternative-0-Kim Kitsuragi-VILLAGE  SHACK DOOR-20-0.wav|I'll wait outside to give you some time and privacy to check out your new living arrangement and look for any signs of Ruby. But just so you know...
wavs/Kim Kitsuragi-VILLAGE  SHACK DOOR-21.wav|After we're done with the day, I'll still be staying in the Whirling-in-Rags for the night. We'll meet in front of the shack in the morning.
wavs/Kim Kitsuragi-VILLAGE  SHACK DOOR-31.wav|Good night, officer. We'll meet in front of the shack in the morning.
wavs/Kim Kitsuragi-THOUGHT  BORING COP-12.wav|You?. I wouldn't worry about that.
wavs/Kim Kitsuragi-THOUGHT  HONOUR-40.wav|WHAT ARE YOU DOING?!
wavs/Kim Kitsuragi-THOUGHT  HONOUR-46.wav|The big deal?. I guess we really do come from different upbringings...
wavs/Kim Kitsuragi-THOUGHT  HONOUR-49.wav|Then why are you elbow deep in your pants like.... Never mind, officer. Carry on.
wavs/Kim Kitsuragi-THOUGHT  HONOUR-50.wav|Really? It seems more like a personal hygiene thing.. But let's not delve deeper.
wavs/Kim Kitsuragi-THOUGHT  HONOUR-55.wav|I can see that, but do you have to do it where everyone can see you?
wavs/Kim Kitsuragi-THOUGHT  HONOUR-56.wav|Have you no self control?. Please spare me this sight.
wavs/Kim Kitsuragi-THOUGHT  HONOUR-57.wav|Well... uh... don't!
wavs/Kim Kitsuragi-INITIATION  SPEED HABIT-31.wav|I'm not your mother.. I don't care. Do what you have to do.
wavs/Kim Kitsuragi-INITIATION  PYRHOLIDON HABIT-43.wav|I'm happy for you,
wavs/Kim Kitsuragi-THOUGHT  REMOTE VIEWER-14.wav|Everything alright, detective?
wavs/Kim Kitsuragi-THOUGHT  REMOTE VIEWER-26.wav|It has been a long day.
wavs/Kim Kitsuragi-THOUGHT  REMOTE VIEWER-27.wav|It is rather late.
wavs/Kim Kitsuragi-THOUGHT  REMOTE VIEWER-28.wav|A little early in the day for a nap, isn't it?
wavs/Kim Kitsuragi-THOUGHT  REMOTE VIEWER-29.wav|This again? Come on, detective. The joke has gone on long enough.
wavs/Kim Kitsuragi-THOUGHT  REMOTE VIEWER-41.wav|Oh, for god's sake. This is a bunch of...
wavs/Kim Kitsuragi-HQ  EXIT BULLET difficult-27.wav|See anything interesting?
wavs/Kim Kitsuragi-HQ  EXIT BULLET difficult-42.wav|Still, interesting.
wavs/Kim Kitsuragi-HQ  EXIT BULLET difficult-43.wav|Yes, for muzzleloaders like the ones officers of the RCM carry. Interesting.
wavs/Kim Kitsuragi-HQ  EXIT BULLET difficult-45.wav|Someone hid it as extra ammunition?
wavs/Kim Kitsuragi-HQ  EXIT BULLET difficult-47.wav|I don't know, could be. The washerwoman was clearly withholding something, and she does rent this place out to people.
wavs/Kim Kitsuragi-HQ  EXIT BULLET difficult-61.wav|Either way,. this is enough to confront her with.
wavs/Kim Kitsuragi-HQ  EXIT BULLET difficult-62.wav|That's a big leap, but from what I've heard, this Ruby sounds pretty desperate. Either way,. this is enough to confront the washerwoman.
wavs/Kim Kitsuragi-HQ  EXIT BULLET difficult-63.wav|That's something of a leap, but we should be on our guard. Either way,. this is enough to confront the washerwoman.
wavs/Kim Kitsuragi-HQ ORB  new home shivers-35.wav|Mhm...
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-46.wav|I do apologize for the intrusion, madam. We're with the RCM, you see.
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-84.wav|A radiocomputer,. And it's turned on.
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-85.wav|Another radiocomputer,. And this time it's already turned on.
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-93.wav|We should probably let it be. It's becoming clear that there's no trace of the suspect anywhere inside the church.
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-100.wav|We should leave; I doubt this place bears any connection to the case.
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-101.wav|We should probably let it be. This little 'foray' bears little connection to the case, no?
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-106.wav|A radiocomputer,. we have one down at the station.
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-107.wav|No, I don't know how to operate it or what it's used for. Let's go.
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-144.wav|She repeats passwords. Programming people are all... paranoid.
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-202.wav|I'm afraid we're not doing that. Unless we want to wait for a month.
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-226.wav|Let's look around. There's no use trying to guess the answer.
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-230.wav|Maybe he knows something.
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-266.wav|Fourth of February? That's over a month ago... Whoever set up those machines has been here for quite a while.
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-268.wav|Our case? No, I don't think so. It must be some local.... eccentric.
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-275.wav|I doubt that we can find any. It's just idle fishermen's gossip to scare away the kids.
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-276.wav|Nothing spooky about this place either, it's just abandoned. And cold. And in an awful part of town...
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-286.wav|Her friends, colleagues?. She must be quite educated if she knew how to set up all this machinery.
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-289.wav|Seems like something to do with radiocomputers, unfortunately, I don't know enough about them to understand what the author is saying.
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-294.wav|The strike.... We're nearing the date of the murder.
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-306.wav|The pillar of silence! She is talking about the silence... Is she suggesting it's more than just an architectural quirk?
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-312.wav|The girl on the ice? Sounds like her, yes.
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-322.wav|Why would anyone need any of this equipment here?
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-326.wav|Is she talking about...?
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-330.wav|I knew it wasn't a good idea to meddle with that machine...
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-334.wav|We should talk to her,. after she has rebooted the machine.
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-337.wav|Keep reading, I'm interested now, I want to know what's that radio anomaly that sent this person here in the first place.
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-341.wav|Something about the backup data getting destroyed... and how everyone thought it was the author's fault.. Let's just keep reading.
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-357.wav|I think these people worked in the radiocomputer games business. The one we saw in the Doomed Commercial Area. They must be her former co-workers.
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-374.wav|It's also quite similar to the one we have down at the station. Must be the same model.
wavs/Kim Kitsuragi-CHURCH  MAINFRAME-386.wav|Saint-Brune, that's the church,. and Rue de Saint-Ghislaine, that's the Doomed Commercial Area.
wavs/Kim Kitsuragi-CHURCH  TIAGO-37.wav|This man is obviously a habitual narcotics user. Do we really need to question him?
wavs/Kim Kitsuragi-CHURCH  TIAGO-112.wav|You know, actually, since we're here, you may want to pay attention to what the ceiling climber is saying.
wavs/Kim Kitsuragi-CHURCH  TIAGO-169.wav|Do you remember your name, sir?
wavs/Kim Kitsuragi-CHURCH  TIAGO-348.wav|Did you witness it?
wavs/Kim Kitsuragi-CHURCH  TIAGO-437.wav|Did it ever seem to you like she was hiding here from something?
wavs/Kim Kitsuragi-CHURCH  TIAGO-439.wav|I see.. And where is she now?
wavs/Kim Kitsuragi-CHURCH  TIAGO-463.wav|That was... an interesting conversation.
wavs/Kim Kitsuragi-CHURCH  TIAGO-464.wav|However, I'm still not sure how it's relevant to our investigation.
wavs/Kim Kitsuragi-CHURCH  TIAGO-465.wav|However, I'm still not sure whether we'll find our suspect here.
wavs/Kim Kitsuragi-CHURCH  SOONA-13.wav|Oh, I see,. this is connected to the drug manufacturing thing.
wavs/Kim Kitsuragi-CHURCH  SOONA-18.wav|It's the Wayfarer Act again,. You can't just throw citizens out of public spaces, at least not legally.
wavs/Kim Kitsuragi-CHURCH  SOONA-22.wav|And she's not. Disrupting any order, I mean.
wavs/Kim Kitsuragi-CHURCH  SOONA-92.wav|Put the gun down, detective.
wavs/Kim Kitsuragi-CHURCH  SOONA-158.wav|Wonderful,
wavs/Kim Kitsuragi-CHURCH  SOONA-181.wav|Wonderful,. Now this place is also going to be a drug lab. Always something fascinating happening in tents.
wavs/Kim Kitsuragi-CHURCH  SOONA-184.wav|No, don't mind me, go on with your little project. I'm sure you can spin it as an under-cover op. Many cops do.
wavs/Kim Kitsuragi-CHURCH  SOONA-191.wav|It is, yes. It's against the law. We're cops, the law is important to us.
wavs/Kim Kitsuragi-CHURCH  SOONA-198.wav|Interesting, a police officer trying to evict a citizen from a public space despite the Wayfarer Act.
wavs/Kim Kitsuragi-CHURCH  SOONA-199.wav|Apologies, I was just thinking out loud. Go on.
wavs/Kim Kitsuragi-CHURCH  SOONA-329.wav|They should really allocate some renovation funds to this place...
wavs/Kim Kitsuragi-CHURCH  SOONA-439.wav|Is that really necessary, detective?
wavs/Kim Kitsuragi-CHURCH  SOONA-494.wav|Now this house of worship is also going to be a drug lab... Always something fascinating happening in tents.
wavs/Kim Kitsuragi-CHURCH  SOONA-576.wav|I've never witnessed a programmer work before...
wavs/Kim Kitsuragi-CHURCH  SOONA-719.wav|The pillar of silence? Are you sure it's not just an architectural quirk?
wavs/Kim Kitsuragi-CHURCH  SOONA-725.wav|You know, we don't actually have to tell the entire world about the fridge,
wavs/Kim Kitsuragi-CHURCH  SOONA-735.wav|We would appreciate it if you kept this knowledge to yourself, miss.
wavs/Kim Kitsuragi-CHURCH  SOONA-740.wav|In his defence, it was simply lying in the desk drawer of an abandoned cubicle.
wavs/Kim Kitsuragi-CHURCH  SOONA-783.wav|Incredible.... This would also explain why we get it on the police radio all the time.
wavs/Kim Kitsuragi-CHURCH  SOONA-876.wav|Yes. And we have to get back to stabilizing Martinaise.... Instead of demolishing it with loud bass noise of unknown origins.
wavs/Kim Kitsuragi-CHURCH  SOONA-879.wav|It was very hard not to. I think you're right,. There is something going on here, and you need to be very careful with it.
wavs/Kim Kitsuragi-CHURCH  SOONA-943.wav|I also have a question, since we're piling them on. How do you know this? I'm not doubting you,. I'm simply curious as to how a detective of the RCM...
wavs/Kim Kitsuragi-CHURCH  SOONA-973.wav|An amateur-entroponetic police officer... I'd like to say I've heard stranger things, but I'm not sure. This is a hell of a guess, however. Well worded I might add...
wavs/Kim Kitsuragi-CHURCH  SOONA-979.wav|Ma'am, you will certainly sound mad.
wavs/Kim Kitsuragi-CHURCH  SOONA-993.wav|Thank you, Egg Head. Let's leave it at that, shall we? We have un-entroponetic detection to perform in this district.
wavs/Kim Kitsuragi-CHURCH  SOONA-1010.wav|You do know there's no need to officially document this information, right?
wavs/Kim Kitsuragi-CHURCH  SOONA-1039.wav|Good luck,. I'm not coming in there.
wavs/Kim Kitsuragi-CHURCH  SOONA-1076.wav|Great, after we've done this, we can finally get to the island,
wavs/Kim Kitsuragi-CHURCH  SOONA-1086.wav|Great, and here I thought we were finally going to the island...
wavs/Kim Kitsuragi-CHURCH  STAINED GLASS WINDOW VISCAL-97.wav|The old woman in the village was right.... This must be the Dolorian Church of Humanity in Martinaise, or the Small Pinewood Church in some records...
wavs/Kim Kitsuragi-CHURCH  STAINED GLASS WINDOW VISCAL-102.wav|It's a minor landmark, not easy to find. Most maps misplace it.... It was built not long after Revachol's founding, 300 or so years ago by first-generation settlers.
wavs/Kim Kitsuragi-CHURCH  STAINED GLASS WINDOW VISCAL-104.wav|There used to be seven stave churches on the coast. Les Sept Soeurs they call them, The Seven Sisters. Only one remains. The rest were burnt in the Revolution, or used for building materials.
wavs/Kim Kitsuragi-CHURCH  STAINED GLASS WINDOW VISCAL-105.wav|We should be respectful here, although the building appears to be deserted. I do not believe we'll find the instigator here. Something else, perhaps...
wavs/Kim Kitsuragi-CHURCH  STAINED GLASS WINDOW VISCAL-109.wav|We should be respectful here, although the building appears to be deserted. We have already found the instigator, I'm not sure what else we could want from here...
wavs/Kim Kitsuragi-CHURCH  STAINED GLASS WINDOW VISCAL-110.wav|Yes.. I wasn't sure before, but this must be the Dolorian Church of Humanity in Martinaise, it's called the Small Pinewood Church in some records...
wavs/Kim Kitsuragi-CHURCH  STAINED GLASS WINDOW VISCAL-126.wav|I have a theory, yes.. There was a police raid a while back. I heard the place was shot to pieces.
wavs/Kim Kitsuragi-CHURCH  STAINED GLASS WINDOW VISCAL-130.wav|The old woman in the village was being tactful with us when she didn't mention it. She has more respect for the RCM than many around here.
wavs/Kim Kitsuragi-CHURCH  STAINED GLASS WINDOW VISCAL-136.wav|Well... your station was involved, I hear. Although I can't be sure.
wavs/Kim Kitsuragi-CHURCH  STAINED GLASS WINDOW VISCAL-138.wav|Three Precincts were involved in the raid and people say Precinct 41 was one of them.
wavs/Kim Kitsuragi-CHURCH  STAINED GLASS WINDOW VISCAL-141.wav|I am pretty sure it was a clandestine operation. I don't know anything more about it. Why it was conducted, or who participated... I try not to pry into extra-district matters.
wavs/Kim Kitsuragi-CHURCH  STAINED GLASS WINDOW VISCAL-142.wav|I'm sorry, I'm not saying you were.... It was a clandestine operation. I don't know anything about it. Why it was conducted or who participated. I try not to pry into extra-district matters.
wavs/Kim Kitsuragi-CHURCH  STAINED GLASS WINDOW VISCAL-144.wav|Good luck. You will not get information on a confidential operation from your station secretary just by calling. If you really don't remember, it might be better to keep this one forgotten.
wavs/Kim Kitsuragi-CHURCH  STAINED GLASS WINDOW VISCAL-145.wav|I agree. It happened a while ago. It's unimportant to our business in Martinaise now.
wavs/Kim Kitsuragi-CHURCH  STAINED GLASS WINDOW VISCAL-146.wav|It happened a while ago. It's unimportant to our business in Martinaise now.
wavs/Kim Kitsuragi-CHURCH  STAINED GLASS WINDOW VISCAL-149.wav|Yes. We all are. Her name, body, and rule are synonymous with humanism. The laws we enforce are Dolorian in origin.
wavs/Kim Kitsuragi-CHURCH  STAINED GLASS WINDOW VISCAL-150.wav|It's not spiritual. It's constitutional. The Dolorian system does not demand faith, only accordance.
wavs/Kim Kitsuragi-CHURCH  STAINED GLASS WINDOW VISCAL-154.wav|I have no idea what you mean by that. We've been standing here long enough. We should look around, or get out.
wavs/Kim Kitsuragi-CHURCH  STAINED GLASS WINDOW VISCAL-160.wav|It's Dolores Dei.... I believe we are in the Dolorian Church of Humanity in Martinaise. Or the Small Pinewood Church in some records.
wavs/Kim Kitsuragi-CHURCH  STAINED GLASS WINDOW VISCAL-161.wav|It's Dolores Dei.... The old woman was right. This is the Dolorian Church of Humanity in Martinaise. Or the Small Pinewood Church in some records.
